number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
1355,0.97415,0.02585,669.973815,0.000192,0.97415
1356,0.97434,0.02566,669.974011,0.00019,0.97434
1357,0.974529,0.025471,669.974205,0.000189,0.974529
1358,0.974717,0.025283,669.974397,0.000188,0.974717
1359,0.974903,0.025097,669.974588,0.000186,0.974903
1360,0.975088,0.024912,669.974778,0.000185,0.975088
1361,0.975272,0.024728,669.974966,0.000184,0.975272
1362,0.975454,0.024546,669.975153,0.000182,0.975454
1363,0.975635,0.024365,669.975338,0.000181,0.975635
1364,0.975815,0.024185,669.975522,0.00018,0.975815
1365,0.975993,0.024007,669.975705,0.000178,0.975993
1366,0.97617,0.02383,669.975886,0.000177,0.97617
1367,0.976346,0.023654,669.976066,0.000176,0.976346
1368,0.97652,0.02348,669.976245,0.000174,0.97652
1369,0.976693,0.023307,669.976422,0.000173,0.976693
1370,0.976865,0.023135,669.976598,0.000172,0.976865
1371,0.977036,0.022964,669.976773,0.000171,0.977036
1372,0.977206,0.022794,669.976946,0.000169,0.977205
1373,0.977374,0.022626,669.977118,0.000168,0.977373
1374,0.977541,0.022459,669.977289,0.000167,0.97754
1375,0.977706,0.022294,669.977458,0.000166,0.977706
1376,0.977871,0.022129,669.977627,0.000165,0.977871
1377,0.978034,0.021966,669.977794,0.000163,0.978034
1378,0.978196,0.021804,669.977959,0.000162,0.978196
1379,0.978357,0.021643,669.978124,0.000161,0.978357
1380,0.978517,0.021483,669.978287,0.00016,0.978517
1381,0.978676,0.021324,669.978449,0.000159,0.978676
1382,0.978833,0.021167,669.97861,0.000157,0.978833
1383,0.97899,0.02101,669.97877,0.000156,0.978989
1384,0.979145,0.020855,669.978928,0.000155,0.979144
1385,0.979299,0.020701,669.979085,0.000154,0.979298
1386,0.979452,0.020548,669.979241,0.000153,0.979451
1387,0.979604,0.020396,669.979396,0.000152,0.979603
1388,0.979754,0.020246,669.97955,0.000151,0.979754
1389,0.979904,0.020096,669.979703,0.00015,0.979904
1390,0.980052,0.019948,669.979854,0.000148,0.980052
1391,0.9802,0.0198,669.980004,0.000147,0.980199
1392,0.980346,0.019654,669.980154,0.000146,0.980345
1393,0.980491,0.019509,669.980302,0.000145,0.98049
1394,0.980635,0.019365,669.980449,0.000144,0.980634
1395,0.980779,0.019221,669.980595,0.000143,0.980777
1396,0.980921,0.019079,669.98074,0.000142,0.980919
1397,0.981062,0.018938,669.980883,0.000141,0.98106
1398,0.981202,0.018798,669.981026,0.00014,0.9812
1399,0.981341,0.018659,669.981168,0.000139,0.981339
1400,0.981479,0.018521,669.981308,0.000138,0.981477
1401,0.981616,0.018384,669.981448,0.000137,0.981614
1402,0.981752,0.018248,669.981586,0.000136,0.98175
1403,0.981887,0.018113,669.981723,0.000135,0.981885
1404,0.982021,0.017979,669.98186,0.000134,0.982019
1405,0.982154,0.017846,669.981995,0.000133,0.982152
1406,0.982286,0.017714,669.98213,0.000132,0.982284
1407,0.982417,0.017583,669.982263,0.000131,0.982415
1408,0.982547,0.017453,669.982395,0.00013,0.982545
